i speak, yo hablo
you speak, tu hablas
he speaks, el habla
we speak, nosotros hablamos
they speak, ellos hablan
i drink, yo bebo
you drink, tu bebes
he drinks, el bebe
we drink, nosotros bebemos
they drink, ellos beben
i write, yo escribo
you write, tu escribes
he writes, el escribe
we write, nosotros escribimos
they write, ellos escriben
i used to speak, yo hablaba
you used to speak, tu hablabas
he used to speak, el hablaba
we used to speak, nosotros hablabamos
they used to speak, nosotros hablaban
i used to drink, yo bebia
you used to drink, tu bebias
he used to drink, el bebia
we used to drink, nosotros bebiamos
they used to drink, ellos bebian
i spoke, yo hable
you spoke, tu hablaste
he spoke, el hablo
we spoke, nosotros hablamos
they spoke, ellos hablaron
i drank, yo bebi
you drank, tu bebiste
he drank, el bebio
we drank, nosotros bebimos
they drank, ellos bebieron
i go, yo voy
you go, tu vas
he goes, el va
we go, nosotros vamos
they go, ellos van
i give, yo doy
you give, tu das
he gives, el da
we give, nosotros damos
they give, ellos dan
i bring, yo traigo
you bring, tu traes
he brings, el trae
we bring, nosotros traemos
they bring, ellos traen
i go out, yo salgo
you go out, tu sales
he goes out, el sale
we go out, nosotros salimos
they go out, ellos salen
i make, yo hago
you make, tu haces
he makes, el hace
we make, nosotros hacemos
they make, ellos hacen
i put, yo pongo
you put, tu pones
he puts, el pone
we put, nosotros ponemos
they put, ellos ponen
i know, yo se
you know, tu sabes
he knows, el sabe
we know, nosotros salimos
they know, ellos salen
i see, yo veo
you see, tu ves
he sees, el ve
we see, nosotros vemos
they see, ellos ven
i used to go, yo iba
you used to go, tu ibas
he used to go, el iba
we used to go, nosotros ibamos
they used to go, ellos iban
i used to be, yo era
you used to be, tu eras
he used to be, el era
we used to be, nosotros eramos
they used to be, ellos eran
i used to see, yo veia
you used to see, tu veias
he used to see, el veia
we used to see, nosotros veiamos
they used to see, ellos veian
